Train Set,Test Set,Fold,Target,RMSE
lvid,lvid,0,bsi,37.76970185169772
svid,svid,0,bsi,31.29159660727341
both,lvid,0,bsi,39.42558057933724
both,svid,0,bsi,30.513526435183955
both,both,0,bsi,33.099485557877394
lvid,lvid,1,bsi,30.833573739747475
svid,svid,1,bsi,17.268907405457526
both,lvid,1,bsi,12.309120047224834
both,svid,1,bsi,47.813689728311466
both,both,1,bsi,19.70677231398717
lvid,lvid,2,bsi,10.090856138390917
svid,svid,2,bsi,32.33350479552213
both,lvid,2,bsi,21.638367452947218
both,svid,2,bsi,9.28720906731248
both,both,2,bsi,13.20266974282016
lvid,lvid,3,bsi,8.410301969353778
svid,svid,3,bsi,23.049275794634738
both,lvid,3,bsi,17.833106803299366
both,svid,3,bsi,33.18434424659649
both,both,3,bsi,24.61816321891659
lvid,lvid,4,bsi,26.52229026604943
svid,svid,4,bsi,51.87515290464528
both,lvid,4,bsi,36.7946007422199
both,svid,4,bsi,57.953241927465086
both,both,4,bsi,45.92823737211415
lvid,lvid,0,c-n,3.465250371821139
svid,svid,0,c-n,2.347125334522957
both,lvid,0,c-n,4.144235456757863
both,svid,0,c-n,2.094508532043793
both,both,0,c-n,4.375081398201623
lvid,lvid,1,c-n,2.751746753109312
svid,svid,1,c-n,1.2641478215423616
both,lvid,1,c-n,2.2259079397177075
both,svid,1,c-n,0.847141102958057
both,both,1,c-n,1.6868253933468025
lvid,lvid,2,c-n,2.071482150486221
svid,svid,2,c-n,1.2923557669343246
both,lvid,2,c-n,3.5790521265364745
both,svid,2,c-n,0.4098777174391953
both,both,2,c-n,2.6604174494424697
lvid,lvid,3,c-n,3.0225515038140536
svid,svid,3,c-n,0.7523773027130635
both,lvid,3,c-n,2.789270373008364
both,svid,3,c-n,2.2797916655602424
both,both,3,c-n,3.8878638622081367
lvid,lvid,4,c-n,1.8757285581633538
svid,svid,4,c-n,1.760186233533784
both,lvid,4,c-n,2.095631484699043
both,svid,4,c-n,2.1719142888281886
both,both,4,c-n,2.128431163066954
