Train Set,Test Set,Target,RMSE,R^2
lvid,lvid,MBT,0.037755854,0.32775788466848743
lvid,svid,MBT,0.023391154,-0.6984455995344558
lvid,both,MBT,0.032437105,-0.6644633027012905
svid,lvid,MBT,0.08935708,-2.76543358683018
svid,svid,MBT,0.026589425,-1.1946547956753784
svid,both,MBT,0.035293996,-0.9705687789077635
both,lvid,MBT,0.033068534,0.48431211851011646
both,svid,MBT,0.013321049,0.4491604571544259
both,both,MBT,0.032825675,-0.7045798227035225
lvid,lvid,%TOC,1.757412,0.20102177233967644
lvid,svid,%TOC,3.970675,-24.895824943781868
lvid,both,%TOC,3.4468436,-1.4076476626334133
svid,lvid,%TOC,3.2808833,-1.7846418932508379
svid,svid,%TOC,0.63197637,0.34400155836226776
svid,both,%TOC,2.4190009,-0.18582844119054998
both,lvid,%TOC,1.0936381,0.6905895146210332
both,svid,%TOC,0.41131452,0.7221251801214388
both,both,%TOC,1.4251784,0.5883878255834138
