learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
0.0001,"[256, 128, 64]",True,True,2.5466969057951014,2.8399526728701225
0.0001,"[256, 128, 64]",True,True,2.0493478797922413,2.3300028018376966
0.0001,"[256, 128, 64]",True,True,2.5467232725666884,2.788150396004549
0.0001,"[256, 128, 64]",True,False,2.530717665494473,2.847594960882685
0.0001,"[256, 128, 64]",True,False,2.5045068319421686,2.8063711855561357
0.0001,"[256, 128, 64]",True,False,2.242171713394882,2.3018130420768967
0.0001,"[256, 128, 64]",False,True,1.899655613001419,2.0404143905367245
0.0001,"[256, 128, 64]",False,True,2.369403097739306,2.5862356781252194
0.0001,"[256, 128, 64]",False,True,1.941654808192745,2.198888673812339
0.0001,"[256, 128, 64]",False,False,2.318192767856747,2.6071885568456414
0.0001,"[256, 128, 64]",False,False,2.4203923884959075,2.6895845732102903
0.0001,"[256, 128, 64]",False,False,2.375488178184165,2.4209521497585844
0.0001,"[128, 64, 32]",True,True,2.9034202289037925,3.1977352027546013
0.0001,"[128, 64, 32]",True,True,2.4009061057809493,2.6699872120765415
0.0001,"[128, 64, 32]",True,True,2.0069654468121625,2.1610985514018224
0.0001,"[128, 64, 32]",True,False,2.55322123983425,2.7747026569399074
0.0001,"[128, 64, 32]",True,False,2.2939338201844506,2.6097490281608753
0.0001,"[128, 64, 32]",True,False,2.371376028268199,2.3415195746305058
0.0001,"[128, 64, 32]",False,True,2.542792051866405,2.785675059255309
0.0001,"[128, 64, 32]",False,True,2.2289239465462787,2.420604878026753
0.0001,"[128, 64, 32]",False,True,2.168476189234361,2.36032014261052
0.0001,"[128, 64, 32]",False,False,2.100627352605678,2.4238233444997532
0.0001,"[128, 64, 32]",False,False,2.178732616422385,2.5121287478821697
0.0001,"[128, 64, 32]",False,False,2.364343128513629,2.2962167667304585
0.0001,"[128, 128, 128]",True,True,2.5212940798888694,2.89507293628336
0.0001,"[128, 128, 128]",True,True,2.219755985337669,2.5223786349449595
0.0001,"[128, 128, 128]",True,True,2.870918228435049,3.2324772030344864
0.0001,"[128, 128, 128]",True,False,2.46065510037852,2.7371862883090627
0.0001,"[128, 128, 128]",True,False,2.440489542696422,2.7547068773876693
0.0001,"[128, 128, 128]",True,False,2.3690797126834617,2.3611166950944904
