epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,1e-07,"[128, 64]",True,True,ReLU(),2.3950933433687913,2.294681659580999,98.12536365906587
100,1e-07,"[128, 64]",True,True,ReLU(),2.634849607258864,2.5269375869005555,103.1016326070485
200,1e-07,"[128, 64]",True,True,ReLU(),2.3123633401037464,2.2063039982444983,96.23180160069455
50,5e-06,"[128, 64]",True,True,ReLU(),2.0283821000306705,1.9634765609337326,91.02902959847484
100,5e-06,"[128, 64]",True,True,ReLU(),2.507001743442202,2.424677976207181,100.91063868409864
200,5e-06,"[128, 64]",True,True,ReLU(),2.632917978991549,2.5867525131067284,104.38321522731084
50,1e-06,"[128, 64]",True,True,ReLU(),2.5032616761429076,2.4089128434119242,100.5728581086134
100,1e-06,"[128, 64]",True,True,ReLU(),2.5522239881215167,2.4652795846500126,101.78056060886496
200,1e-06,"[128, 64]",True,True,ReLU(),2.5924750182969283,2.524291859359365,103.04494577903083
50,5e-05,"[128, 64]",True,True,ReLU(),2.135432347991907,2.079189661180829,93.50827529213662
100,5e-05,"[128, 64]",True,True,ReLU(),2.145002990915986,2.2373653591974616,96.89731609488288
200,5e-05,"[128, 64]",True,True,ReLU(),2.5152412755267557,2.633434755404828,105.38341959432624
50,1e-05,"[128, 64]",True,True,ReLU(),2.497141057601664,2.423104779236452,100.87693168111772
100,1e-05,"[128, 64]",True,True,ReLU(),2.252145972480279,2.208489256221477,96.27862250012079
200,1e-05,"[128, 64]",True,True,ReLU(),2.1423693729038398,2.125179829339772,94.49365141735801
50,0.0005,"[128, 64]",True,True,ReLU(),2.2831206124861603,2.469228234599982,101.86516359127
100,0.0005,"[128, 64]",True,True,ReLU(),2.557762310950393,2.768751889160716,108.28269738073537
200,0.0005,"[128, 64]",True,True,ReLU(),2.254226230306571,2.437493823275531,101.18522845472087
50,0.0001,"[128, 64]",True,True,ReLU(),2.341496810936415,2.379260917138479,99.9375418793772
100,0.0001,"[128, 64]",True,True,ReLU(),2.3016166484620935,2.570159132656413,104.02768878357294
200,0.0001,"[128, 64]",True,True,ReLU(),1.947546787623477,2.2574598022153145,97.32785560347922
50,0.005,"[128, 64]",True,True,ReLU(),2.520181788944635,2.6684305158923443,106.13323174437508
100,0.005,"[128, 64]",True,True,ReLU(),2.977678648320702,3.2558999004746654,118.720233032679
200,0.005,"[128, 64]",True,True,ReLU(),3.137749389333257,3.510744028512538,124.18047224192735
50,0.001,"[128, 64]",True,True,ReLU(),2.4411915884054998,2.5365361185259023,103.30728882183145
100,0.001,"[128, 64]",True,True,ReLU(),2.7521175200286847,2.9836314274674667,112.88666330045763
200,0.001,"[128, 64]",True,True,ReLU(),2.294242268306582,2.651727821528975,105.77536316264575
50,0.05,"[128, 64]",True,True,ReLU(),2.30451312480046,2.2161617236544338,96.44301124955622
100,0.05,"[128, 64]",True,True,ReLU(),2.3031305522433683,2.225351240882869,96.6399040038492
200,0.05,"[128, 64]",True,True,ReLU(),1.6028271449376439,1.633149318470008,83.95150430852479
50,0.01,"[128, 64]",True,True,ReLU(),2.1586616198727357,2.1559655429678175,95.15325994721027
100,0.01,"[128, 64]",True,True,ReLU(),2.022949694676333,2.011250636366189,92.05262736339225
200,0.01,"[128, 64]",True,True,ReLU(),1.2365440997006967,1.4840774522411104,80.75752038099286
