epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,1e-07,"[128, 64]",True,True,ReLU(),2.200338045290824,2.0914538176226927,93.77104464997039
100,1e-07,"[128, 64]",True,True,ReLU(),2.285670525975732,2.1961551379484296,96.01435415411443
200,1e-07,"[128, 64]",True,True,ReLU(),2.572804972798831,2.5046645566127705,102.62441512425815
50,5e-06,"[128, 64]",True,True,ReLU(),2.181544694432613,2.240777764323273,96.9704296031644
100,5e-06,"[128, 64]",True,True,ReLU(),2.4050545813630375,2.5968856189093388,104.60032512127178
200,5e-06,"[128, 64]",True,True,ReLU(),2.405692186753863,2.6742356972082106,106.25761239572358
50,1e-06,"[128, 64]",True,True,ReLU(),2.536266855813341,2.486874507390765,102.24324909526486
100,1e-06,"[128, 64]",True,True,ReLU(),2.547606987975088,2.515859528787298,102.86427635427525
200,1e-06,"[128, 64]",True,True,ReLU(),2.2715216866474286,2.3121786478689734,98.50025062322445
50,5e-05,"[128, 64]",True,True,ReLU(),2.585739335704239,2.8661550411334478,110.3696377925107
100,5e-05,"[128, 64]",True,True,ReLU(),2.599137219885054,2.8509400328358394,110.04364407425129
200,5e-05,"[128, 64]",True,True,ReLU(),2.503533140333272,2.747177478372943,107.82044837932881
50,1e-05,"[128, 64]",True,True,ReLU(),2.399592402256807,2.561391712810518,103.83983980319782
100,1e-05,"[128, 64]",True,True,ReLU(),2.3609723197631345,2.629280202215583,105.29440497038539
200,1e-05,"[128, 64]",True,True,ReLU(),2.3639451738625654,2.6320495932460934,105.35374138753953
50,0.0005,"[128, 64]",True,True,ReLU(),2.509318496244971,2.7355579260218423,107.57149017954653
100,0.0005,"[128, 64]",True,True,ReLU(),2.498863560915611,2.6657262213880095,106.07529007234358
200,0.0005,"[128, 64]",True,True,ReLU(),2.5940649547034584,2.8492031301100136,110.00642954457301
50,0.0001,"[128, 64]",True,True,ReLU(),2.147816528958404,2.3783391359022867,99.91779197936201
100,0.0001,"[128, 64]",True,True,ReLU(),2.089464429484585,2.2851429497059654,97.92098917311513
200,0.0001,"[128, 64]",True,True,ReLU(),2.5375014060173884,2.7906191204244184,108.75122029496951
50,0.005,"[128, 64]",True,True,ReLU(),2.1507320129048786,2.43383262808831,101.10678442044825
100,0.005,"[128, 64]",True,True,ReLU(),2.372713262147376,2.557238592124955,103.75085587179377
200,0.005,"[128, 64]",True,True,ReLU(),2.434493628430829,2.548884234187779,103.57185707308538
50,0.001,"[128, 64]",True,True,ReLU(),2.4099526906664046,2.6731363237530443,106.23405744041922
100,0.001,"[128, 64]",True,True,ReLU(),2.5046274405440863,2.625882526300175,105.22160704721382
200,0.001,"[128, 64]",True,True,ReLU(),2.3795174405558983,2.513551865206338,102.81483281691173
50,0.05,"[128, 64]",True,True,ReLU(),2.484686266565371,2.808965458608026,109.14430525975777
100,0.05,"[128, 64]",True,True,ReLU(),2.3552389064355173,2.4604618154466738,101.67733605153369
200,0.05,"[128, 64]",True,True,ReLU(),2.523305860825172,2.62593379393992,105.22270549738747
50,0.01,"[128, 64]",True,True,ReLU(),2.449682811185302,2.76845435660424,108.27632250781436
100,0.01,"[128, 64]",True,True,ReLU(),2.39273835135526,2.551132538743572,103.62002879587293
200,0.01,"[128, 64]",True,True,ReLU(),2.354962030660832,2.485433150882989,102.21236687961854
