epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,1e-07,"[256, 64]",True,True,Sigmoid(),1.686570799943206,1.58256170204925,82.86762417830657
100,1e-07,"[256, 64]",True,True,Sigmoid(),2.4882960288617384,2.3885357756344967,100.13626313856454
200,1e-07,"[256, 64]",True,True,Sigmoid(),2.6300343646070203,2.5303786172622784,103.17535943389737
50,5e-06,"[256, 64]",True,True,Sigmoid(),1.6908235003818775,1.59460069484195,83.12556922492261
100,5e-06,"[256, 64]",True,True,Sigmoid(),2.442000168520206,2.362455401553335,99.57747027075847
200,5e-06,"[256, 64]",True,True,Sigmoid(),2.704021773378381,2.6445111870721925,105.6207409991958
50,1e-06,"[256, 64]",True,True,Sigmoid(),2.644153226242982,2.5530193101523553,103.66045438191426
100,1e-06,"[256, 64]",True,True,Sigmoid(),2.7790030089906113,2.6933239600066536,106.6665936886063
200,1e-06,"[256, 64]",True,True,Sigmoid(),2.2159508299501436,2.12613850825688,94.51419187968915
50,5e-05,"[256, 64]",True,True,Sigmoid(),2.1866252809353792,2.18369734554289,95.74743599093316
100,5e-05,"[256, 64]",True,True,Sigmoid(),2.6844256574689362,2.772193473228044,108.35643607116951
200,5e-05,"[256, 64]",True,True,Sigmoid(),1.9802112470092113,2.072261402098571,93.3598318016625
50,1e-05,"[256, 64]",True,True,Sigmoid(),2.372852475240943,2.277664400384779,97.7607552742757
100,1e-05,"[256, 64]",True,True,Sigmoid(),2.3554812572018933,2.287432522551594,97.97004510200934
200,1e-05,"[256, 64]",True,True,Sigmoid(),2.2417620435685235,2.2011380985088413,96.12111806835321
50,0.0005,"[256, 64]",True,True,Sigmoid(),2.340939108335368,2.441441986090592,101.26982099987099
100,0.0005,"[256, 64]",True,True,Sigmoid(),2.938775744928469,3.0997808202274393,115.3752569100547
200,0.0005,"[256, 64]",True,True,Sigmoid(),1.8589412720109648,1.9792540875727216,91.36707572197182
50,0.0001,"[256, 64]",True,True,Sigmoid(),2.6376229217457583,2.6850248461108643,106.48877853765617
100,0.0001,"[256, 64]",True,True,Sigmoid(),2.411352156636666,2.4102640881648005,100.60180960786023
200,0.0001,"[256, 64]",True,True,Sigmoid(),2.411484983103267,2.6287004780471515,105.28198391654597
50,0.005,"[256, 64]",True,True,Sigmoid(),2.720842396552167,2.7287812906297733,107.42629534786863
100,0.005,"[256, 64]",True,True,Sigmoid(),2.077690381532663,2.0653127173185215,93.21095067428138
200,0.005,"[256, 64]",True,True,Sigmoid(),2.1934571212175293,2.422089651723781,100.85518176249198
50,0.001,"[256, 64]",True,True,Sigmoid(),1.7142050459189444,1.7890480993407536,87.29176034086295
100,0.001,"[256, 64]",True,True,Sigmoid(),2.63959714605985,2.82549934639369,109.49855702558689
200,0.001,"[256, 64]",True,True,Sigmoid(),2.7821291003957698,2.95201747734978,112.20930914158069
50,0.05,"[256, 64]",True,True,Sigmoid(),2.060697545300137,1.9828163747800662,91.4434005736916
100,0.05,"[256, 64]",True,True,Sigmoid(),2.0222147544171882,2.167135853153488,95.39259277439709
200,0.05,"[256, 64]",True,True,Sigmoid(),1.893113944559426,2.173766614431725,95.5346621365494
50,0.01,"[256, 64]",True,True,Sigmoid(),2.6079151290700233,2.5787970265478837,104.21276256680927
100,0.01,"[256, 64]",True,True,Sigmoid(),2.0320505628204777,2.269418311041596,97.5840762167621
200,0.01,"[256, 64]",True,True,Sigmoid(),1.6491125453835054,1.8591858351000659,88.79451740962297
